,Place,Phrase,Form,Type,KeyLexemes;
76,1,людьми,Sins,1,алкать;
77,1,Нищие,Snom,1,алкать;
79,1,Я,SPROnom,1,алкать;
82,1,Приходящий,Snom,1,алкать;
84,1,народы,Snom,1,алкать;
87,1,Историограф,Snom,1,алкать;
88,1,взоры,Sacc,1,алкать;
89,1,духа,Sgen,1,алкать;
91,1,взглядом,Sins,1,алкать;
92,1,организм,Sacc,1,алкать;
93,1,взоров,Sgen,1,алкать;
94,1,душа,Snom,1,алкать;
95,1,глазами,Sins,1,алкать;
96,1,дух,Snom,1,алкать;
97,1,пасть,Sacc,1,алкать;
98,1,клюв,Sacc,1,алкать;
99,1,сознание,Sacc,1,алкать;
100,1,я,SPROnom,1,алкать;
102,1,вы,SPROnom,1,Америка;
104,3,Америку,Америку,3,Америка;
106,1,человек,Snom,1,аплодировать;
107,1,человек,Snom,1,аплодировать;
109,1,она,SPROnom,1,аплодировать;
110,1,Все,SPROnom,1,аплодировать;
112,1,люди,Snom,1,аплодировать;
115,1,Люди,Snom,1,аплодировать;
116,1,Публика,Snom,1,аплодировать;
117,1,Они,SPROnom,1,аплодировать;
118,1,залы,Snom,1,аплодировать;
120,1,публике,Sdat,1,аплодировать;
121,1,каждого,APROacc,1,аплодировать;
122,1,Хозяева,Snom,1,аплодировать;
123,1,я,SPROnom,1,аплодировать;
125,1,публика,Snom,1,аплодировать;
126,1,Герои,Snom,1,аплодировать;
127,1,зрители,Snom,1,аплодировать;
128,1,сеньоры,Snom,1,аплодировать;
129,1,британцы,Snom,1,аплодировать;
131,1,публика,Snom,1,аплодировать;
132,1,президиум,Snom,1,аплодировать;
133,1,зал,Snom,1,аплодировать;
135,1,Тургенев,Snom,1,аплодировать;
136,1,Репин,Snom,1,аплодировать;
137,1,Они,SPROnom,1,аплодировать;
138,1,Неля,Snom,1,аплодировать;
139,1,мы,SPROnom,1,аплодировать;
140,3,ей,SPROdat,2,аплодировать;
141,3,Ему,SPROdat,2,аплодировать;
142,1,Присутствующие,Snom,1,аплодировать;
143,3,человеку,Sdat,2,аплодировать;
144,3,Монако,Sdat,2,аплодировать;
145,3,Гумилеву,Sdat,2,аплодировать;
146,3,авторам,Sdat,2,аплодировать;
147,1,делегаты,Snom,1,аплодировать;
148,3,ректору,Sdat,2,аплодировать;
149,3,Гожевой,Sdat,2,аплодировать;
150,1,одноклассники,Snom,1,аплодировать;
151,1,родня,Snom,1,аплодировать;
152,3,им,SPROdat,2,аплодировать;
153,1,я,SPROnom,1,аплодировать;
154,3,Гилельсу,Sdat,2,аплодировать;
155,1,Ять,Snom,1,аплодировать;
156,3,комиссару,Sdat,2,аплодировать;
157,1,профессор,Snom,1,аплодировать;
158,3,Ходеряхину,Sdat,2,аплодировать;
159,3,всем,SPROdat,2,аплодировать;
160,3,Мастеру,Sdat,2,аплодировать;
161,3,тебе,SPROdat,2,аплодировать;
162,1,бундестаг,Snom,1,аплодировать;
163,3,Путину,Sdat,2,аплодировать;
164,1,парламент,Snom,1,аплодировать;
165,3,мне,SPROdat,2,аплодировать;
166,3,кому2то,SPROdat,2,аплодировать;
167,3,участникам,Sdat,2,аплодировать;
168,3,пирамиде,Sdat,2,аплодировать;
169,3,Смальцофф2младшему,Sdat,2,аплодировать;
170,1,аудитория,Snom,1,аплодировать;
171,3,Варпаховскому,Sdat,2,аплодировать;
172,3,которой,APROdat,2,аплодировать;
173,1,зал,Snom,1,аплодировать;
174,1,Сталин,Snom,1,аплодировать;
175,3,актерам,Sdat,2,аплодировать;
176,3,артисту,Sdat,2,аплодировать;
177,3,чему,SPROdat,2,аплодировать;
178,1,герой,Snom,1,аплодировать;
179,3,работе,Sdat,2,аплодировать;
181,3,новации,Sdat,2,аплодировать;
182,1,Ровесники,Snom,1,аплодировать;
183,3,смелости,Sdat,2,аплодировать;
184,1,мы,SPROnom,1,аплодировать;
185,3,расстрелам,Sdat,2,аплодировать;
186,1,колхоз,Snom,1,арендовать;
188,3,сейнер,Sacc,3,арендовать;
189,1,лицам,Sdat,1,арендовать;
190,3,жилье,Sacc,3,арендовать;
191,1,ему,SPROdat,1,арендовать;
192,3,помещения,Sacc,3,арендовать;
193,3,контейнерами,Sins,1,арендовать;
195,3,Линкольн,Sacc,3,арендовать;
196,3,МАШИНУ,Sacc,3,арендовать;
197,3,автомобиль,Sacc,1,арендовать;
198,3,машине,Sloc,1,арендовать;
199,3,стоянке,Sloc,1,арендовать;
200,1,Сгибова,Snom,1,арендовать;
202,3,помещение,Sacc,3,арендовать;
203,3,участок,Sacc,3,арендовать;
204,3,мест,Sgen,1,арендовать;
205,1,факультета,Sgen,1,арендовать;
206,3,площади,Sacc,3,арендовать;
207,3,флотом,Sins,1,арендовать;
208,3,недвижимость,Sacc,1,арендовать;
209,1,часть,Snom,1,арендовать;
211,3,машины,Sacc,3,арендовать;
212,1,он,SPROnom,1,арендовать;
214,3,ящик,Sacc,3,арендовать;
215,3,их,SPROacc,3,арендовать;
216,1,Бунин,Snom,1,арендовать;
217,3,виллы,Sacc,3,арендовать;
218,3,площадках,Sloc,1,арендовать;
219,1,ты,SPROnom,1,арендовать;
221,3,площадь,Sacc,3,арендовать;
222,3,потоку,Sdat,1,арендовать;
223,3,платформу,Sacc,3,арендовать;
224,1,горожанин,Snom,1,арендовать;
225,3,дачу,Sacc,3,арендовать;
227,3,участка,NUMnom,1,арендовать;
228,3,70,NUMnom,1,арендовать;
229,1,предприятие,Snom,1,арендовать;
230,3,мощности,Sacc,3,арендовать;
231,1,Гочияев,Snom,1,арендовать;
232,3,помещений,NUMacc,3,арендовать;
233,1,вузы,Snom,1,арендовать;
234,1,часть,Snom,1,арендовать;
235,1,иностранец,Snom,1,арендовать;
236,3,пашню,Sacc,1,арендовать;
237,1,предприятие,Snom,1,арендовать;
238,3,ее,SPROacc,3,арендовать;
239,1,они,SPROnom,1,арендовать;
241,3,лед,Sacc,3,арендовать;
242,1,японцы,Snom,1,арендовать;
243,3,штук,Sacc,1,арендовать;
244,1,Берсеневы,Snom,1,арендовать;
245,3,малолитражку,Sacc,3,арендовать;
246,1,интуриста,Sgen,1,арендовать;
247,3,автомобиля,Sgen,1,арендовать;
248,3,автомобиль,Sacc,3,арендовать;
249,1,Мэри,Snom,1,арендовать;
250,3,площади,NUMacc,3,арендовать;
251,1,ученый,Snom,1,арендовать;
252,3,костей,NUMacc,1,арендовать;
253,1,Быч,Snom,1,арендовать;
254,3,транспорт,Sacc,3,арендовать;
255,1,предприниматели,Snom,1,арендовать;
257,3,места,Sacc,3,арендовать;
258,1,подразделениями,Sins,1,арендовать;
259,3,локомотивы,Sacc,3,арендовать;
260,3,имущества,Sgen,1,арендовать;
261,3,офиса,Sgen,1,арендовать;
262,3,павильон,Sacc,3,арендовать;
263,1,друзья,Snom,1,арендовать;
264,3,который,APROacc,3,арендовать;
265,1,русские,Snom,1,арендовать;
266,3,аэродром,Sacc,3,арендовать;
267,1,Леван,Snom,1,арендовать;
268,3,грузовик,Sacc,3,арендовать;
269,3,мерседес,Sacc,3,арендовать;
270,3,психов,Sacc,3,арендовать;
271,3,театрам,Sloc,1,арендовать;
272,3,участков,Sgen,1,арендовать;
273,1,корпорация,Snom,1,арендовать;
274,1,Фирма,Snom,1,арендовать;
275,3,Квартиру,Sacc,3,арендовать;
276,3,имущество,Sacc,1,арендовать;
277,1,Я,SPROnom,1,арендовать;
278,3,Континенталь,Sacc,3,арендовать;
280,3,экипировка,Snom,1,арендовать;
281,3,помещение,Snom,1,арендовать;
282,1,Целий,Snom,1,арендовать;
284,4,у / брата,у + Sgen,2,арендовать;
285,1,монахини,Snom,1,арендовать;
286,3,несколько,SPROacc,3,арендовать;
287,4,у него,у + Sgen,2,арендовать;
288,1,город,Snom,1,арендовать;
289,4,у нее,у + Sgen,2,арендовать;
290,1,Управление,Snom,1,арендовать;
292,3,шесть,NUMacc,3,арендовать;
293,4,у / компании,у + Sgen,2,арендовать;
294,1,которые,APROnom,1,арендовать;
295,3,судов,NUMacc,3,арендовать;
296,4,у / компаний,у + Sgen,2,арендовать;
297,1,кто,SPROnom,1,арендовать;
298,4,у государства,у + Sgen,2,арендовать;
299,1,Бернар,Snom,1,арендовать;
300,3,пещер2холодильников,ANUMacc,3,арендовать;
301,4,у / власти,у + Sgen,2,арендовать;
302,1,предприятие,Snom,1,арендовать;
303,3,землю,Sacc,3,арендовать;
304,4,у 1а,у + Sgen,2,арендовать;
305,1,компания,Snom,1,арендовать;
306,4,у Мосимущества,у + Sgen,2,арендовать;
307,1,Оливер,Snom,1,арендовать;
308,4,у «Мосфильма»,у + Sgen,2,арендовать;
309,1,университет,Snom,1,арендовать;
311,3,жилплощадь,Snom,1,арендовать;
312,4,у / властей,у + Sgen,2,арендовать;
313,3,бассейн,Snom,1,арендовать;
314,4,у школы,у + Sgen,2,арендовать;
315,1,Мосфильм,Snom,1,арендовать;
316,4,у / пароходства,у + Sgen,2,арендовать;
317,3,теплоход,Sacc,3,арендовать;
318,4,дешевле,ADVcomp,2,арендовать;
319,1,мы,SPROnom,1,арендовать;
320,3,Технику,Sacc,3,арендовать;
321,4,по / ценам,по + Sdat,2,арендовать;
322,1,друзья,Snom,1,арендовать;
323,3,джип,Sacc,3,арендовать;
324,4,за / долларов,за + NUMacc,2,арендовать;
325,4,дороже,ADVcomp,2,арендовать;
326,3,самолёт,Sacc,3,арендовать;
327,4,на / срок,на + Sacc,2,арендовать;
329,3,цирк,Snom,1,арендовать;
330,4,на / дня,на + NUMacc,2,арендовать;
331,3,Театр,Sacc,3,арендовать;
332,3,метров,NUMacc,3,арендовать;
333,4,на / лет,на + NUMacc,2,арендовать;
334,3,которое,APROacc,3,арендовать;
335,4,на время,на + Sacc,2,арендовать;
336,1,Колей,Sins,2,арендовать;
337,3,доме,Sloc,1,арендовать;
338,4,под офисы,под + Sacc,2,арендовать;
339,1,Фонд,Snom,1,арендовать;
340,4,под офис,под + Sacc,2,арендовать;
341,1,евреи,Snom,1,арендовать;
342,3,ТЭЦ21,Sacc,3,арендовать;
343,4,для / праздника,для + Sgen,2,арендовать;
345,3,база,Snom,1,арендовать;
346,4,для цеха,для + Sgen,2,арендовать;
348,3,аудитории,Snom,1,арендовать;
349,4,для занятий,для + Sgen,2,арендовать;
350,1,магазинов,около + NUMgen,1,арендовать;
351,4,В комплексе,в + Sloc,2,арендовать;
353,3,террористов,Sacc,3,арестовать;
354,4,по месту,по + Sdat,2,арестовать;
356,3,меня,SPROacc,3,арестовать;
357,4,там,ADVPRO,2,арестовать;
359,3,Он,SPROnom,1,арестовать;
360,4,как враг,как + Snom,2,арестовать;
361,3,отцов,Sgen,1,арестовать;
363,3,завхоза,Sacc,3,арестовать;
364,3,дядю,Sacc,3,арестовать;
366,3,Николай,Snom,1,арестовать;
367,3,офицеры,Snom,1,арестовать;
369,3,кабатчица,Snom,1,арестовать;
370,3,академика,Sacc,1,арестовать;
372,3,Их,SPROacc,3,арестовать;
373,3,её,SPROacc,3,арестовать;
374,3,Василия,Sacc,3,арестовать;
375,3,Андрея,Sacc,3,арестовать;
377,3,человек,Snom,1,арестовать;
378,4,за / деятельность,за + Sacc,2,арестовать;
379,1,Цензура,Snom,1,арестовать;
381,3,книгу,Sacc,3,арестовать;
382,3,поместья,Sgen,1,арестовать;
383,1,Фонд,Snom,1,ассигновать;
384,3,средства,Sacc,3,ассигновать;
385,4,компании,Sdat,2,ассигновать;
387,3,Деньги,Sacc,3,ассигновать;
388,4,МТС,Sdat,2,ассигновать;
389,3,валюту,Sacc,3,ассигновать;
390,4,Издательству,Sdat,2,ассигновать;
391,1,Евро2,Snom,1,ассигновать;
393,3,евро,NUMacc,3,ассигновать;
394,4,на изготовление,на + Sacc,2,ассигновать;
396,3,долларов,около + NUMgen,3,ассигновать;
397,4,на проведение,на + Sacc,2,ассигновать;
398,3,долларов,NUMacc,3,ассигновать;
399,4,На программу,на + Sacc,2,ассигновать;
400,4,На осуществление,на + Sacc,2,ассигновать;
402,3,долларов,NUMnom,1,ассигновать;
403,3,суммы,Sgen,1,ассигновать;
404,1,предприятия,Snom,1,ассигновать;
405,4,на реализацию,на + Sacc,2,ассигновать;
406,4,на решение,на + Sacc,2,ассигновать;
407,1,они,SPROnom,1,ассигновать;
408,3,суммы,Sacc,3,ассигновать;
409,4,на спецоперации,на + Sacc,2,ассигновать;
410,1,Штаты,Snom,1,ассигновать;
411,3,долл.,NUMcomp,3,ассигновать;
412,4,на / программу,на + Sacc,2,ассигновать;
414,3,средства,Snom,1,ассигновать;
415,4,На каждого,на + SPROacc,2,ассигновать;
416,1,я,SPROnom,1,ассигновать;
417,3,рублей,NUMacc,3,ассигновать;
418,4,на / дело,на + Sacc,2,ассигновать;
419,3,сумму,Sacc,1,ассигновать;
420,4,на угощение,на + Sacc,2,ассигновать;
422,3,Сколько,SPROacc,3,ассигновать;
423,4,на это,на + SPROacc,2,ассигновать;
424,1,Главэлектро,Snom,1,ассигновать;
426,4,на разработку,на + Sacc,2,ассигновать;
427,3,средства,Snom,1,ассигновать;
428,4,на / проживание,на + Sacc,2,ассигновать;
430,3,Терроризм,Sacc,3,ассоциировать;
431,4,с / религией,с + Sins,2,ассоциировать;
432,1,люди,Snom,1,ассоциировать;
434,3,текст,Sacc,3,ассоциировать;
435,4,с продуктом,с + Sins,2,ассоциировать;
436,3,Спивакова,Sacc,3,ассоциировать;
437,4,с / временем,с + Sins,2,ассоциировать;
438,1,компания,Snom,1,ассоциировать;
440,3,которую,APROacc,3,ассоциировать;
441,4,с / скорпионом,с + Sins,2,ассоциировать;
442,3,партии,Sacc,3,ассоциировать;
443,4,с флорой,с + Sins,2,ассоциировать;
444,1,мы,SPROnom,1,ассоциировать;
446,3,характеристику,Sacc,3,ассоциировать;
447,4,с / субстратом,с + Sins,2,ассоциировать;
448,1,Он,SPROnom,1,ассоциировать;
449,3,их,SPROacc,3,ассоциировать;
450,4,с моделями2концепциями,с + Sins,2,ассоциировать;
452,3,какой,APROnom,1,ассоциировать;
453,4,с РМЖ,с + Sins,2,ассоциировать;
455,3,замена,Snom,1,ассоциировать;
456,4,с / устойчивостью,с + Sins,2,ассоциировать;
457,1,Диопсид,Snom,1,ассоциировать;
458,3,с клинохлором,с + Sins,2,ассоциировать;
459,1,лимфоцитов,Sgen,1,ассоциировать;
460,3,со / оболочками,с + Sins,2,ассоциировать;
462,3,её,SPROacc,3,баловать;
463,1,человек,Snom,1,баловать;
465,3,самолюбие,Sacc,3,баловать;
466,1,Отец,Snom,1,баловать;
468,3,Любу,Sacc,3,баловать;
469,1,Аркадий,Snom,1,баловать;
471,3,тело,Sacc,3,баловать;
473,3,меня,SPROacc,3,баловать;
474,3,Вас,SPROacc,3,баловать;
475,3,Супруг,APROacc,3,баловать;
476,1,Артур,Snom,1,баловать;
478,3,дочку,Sacc,3,баловать;
479,1,государство,Snom,1,баловать;
480,3,компании,Sacc,3,баловать;
481,1,женщины,NUMnom,1,баловать;
482,3,сына,Sacc,3,баловать;
483,1,Никто,SPROnom,1,баловать;
484,1,Вы,SPROnom,1,баловать;
486,3,его,SPROacc,3,баловать;
487,1,Он,SPROnom,1,баловать;
488,1,Павел,Snom,1,баловать;
489,3,Таню,Sacc,3,баловать;
490,3,малыша,Sacc,3,баловать;
491,1,строители,Snom,1,баловать;
492,3,нас,SPROacc,3,баловать;
493,4,изыском,Sins,2,баловать;
494,1,Фёдор,Snom,1,баловать;
495,3,их,SPROacc,3,баловать;
496,4,вниманием,Sins,2,баловать;
497,1,она [погода],SPROnom,1,баловать;
499,3,поставщиков,Sacc,3,баловать;
500,1,судьба,Snom,1,баловать;
501,3,мать,Sacc,3,баловать;
502,1,хозяйки,Snom,1,баловать;
503,4,коврижками,Sins,2,баловать;
504,1,Народ,Snom,1,баловать;
505,3,зрелища,Sacc,3,баловать;
506,4,присутствием,Sins,2,баловать;
507,1,огоньки,Snom,1,баловать;
508,4,деликатесами,Sins,2,баловать;
509,1,Дина,Snom,1,баловать;
510,4,пятёрками,Sins,2,баловать;
511,1,кока,Snom,1,баловать;
512,4,рыбкой,Sins,2,баловать;
513,1,Реальность,Snom,1,баловать;
514,4,новостями,Sins,2,баловать;
515,1,Башмет,Snom,1,баловать;
516,3,итальянцев,Sacc,3,баловать;
517,4,Таковыми,APROins,2,баловать;
518,1,Артём,Snom,1,баловать;
520,1,молодые,Snom,1,баловать;
521,1,она,SPROnom,1,баловать;
522,3,с проезжающими,с + Sins ,2,баловать;
523,1,хозяину,Sdat,1,баловать;
524,3,с ним,с + SPROins,3,баловать;
525,3,голосом,Sins,2,баловать;
526,1,сайты,Snom,1,баловать;
527,3,удобством,Sins,2,баловать;
529,3,словно,словно,2,банный;
530,4,банный лист,банный лист,2,банный;
531,1,Он,SPROnom,1,бег;
533,3,в бега,в + бега,2,бег;
535,1,Я,SPROnom,1,бежать;
537,1,Они,SPROnom,1,бежать;
539,1,Мышка,Snom,1,бежать;
541,1,Муравей,Snom,1,бежать;
542,1,Человек,Snom,1,бежать;
545,1,новожители,Snom,1,бежать;
546,1,заяц,Snom,1,бежать;
547,1,Он,SPROnom,1,бежать;
548,1,тот,APROnom,1,бежать;
551,1,Она,SPROnom,1,бежать;
552,1,те,APROnom,1,бежать;
553,1,Мамочка,Snom,1,бежать;
554,1,Я,SPROnom,1,бежать;
555,1,Кабанов,Snom,1,бежать;
557,1,лошадь,Snom,1,бежать;
558,1,заяц,Snom,1,бежать;
559,1,Кенгуру,Snom,1,бежать;
560,1,ей,SPROdat,1,бежать;
561,3,из деревни,из + Sgen,2,бежать;
562,1,они,SPROnom,1,бежать;
563,3,к ней,к + SPROdat,2,бежать;
564,3,вниз,ADV,2,бежать;
565,3,некуда,ADVPRO,2,бежать;
566,1,Робин,Snom,1,бежать;
567,3,к / горе,к + Sdat,2,бежать;
568,3,в / сторону,в + Sacc,2,бежать;
569,1,Тамара,Snom,1,бежать;
570,3,в / глубь,в + Sacc,2,бежать;
571,3,на / службу,на + Sacc,2,бежать;
572,3,куда2то,ADVPRO,2,бежать;
573,3,к вам,к + SPROdat,2,бежать;
574,3,к председателю,к + Sdat,2,бежать;
575,3,ко мне,к + SPROdat,2,бежать;
576,1,Цицерон,Snom,1,бежать;
577,3,к счётчику,к + Sdat,2,бежать;
579,3,домой,ADV,1,бежать;
580,3,к Ивану,к + Sdat,2,бежать;
581,1,Мне,SPROdat,1,бежать;
582,3,в / свет,в + Sacc,2,бежать;
583,3,к дверям,к + Sdat,2,бежать;
584,3,в / болото,в + Sacc,2,бежать;
585,1,Мура,Snom,1,бежать;
586,1,женщина,Snom,1,бежать;
587,3,через улицу,через + Sacc,2,бежать;
588,1,Кто2то,SPROnom,1,бежать;
589,3,по перрону,по + Sdat,2,бежать;
590,3,по дороге,по + Sdat,2,бежать;
591,1,гвардия,Snom,1,бежать;
592,3,по улицам,по + Sdat,2,бежать;
593,1,Зайчуров,Snom,1,бежать;
594,3,по улице,по + Sdat,2,бежать;
596,3,за ведром,за + Sins,2,бежать;
598,3,купаться,Vinf,2,бежать;
599,1,Анка,Snom,1,бежать;
600,3,закупаться,Vinf,2,бежать;
601,1,она,SPROnom,1,бежать;
602,1,зек,Snom,1,бежать;
603,3,из / лагеря,из + Sgen,2,бежать;
604,1,мы,SPROnom,1,бежать;
605,3,с фабрики,с + Sgen,2,бежать;
606,1,вы,SPROnom,1,бежать;
607,3,с острова,с + Sgen,2,бежать;
609,3,из / рая,из + Sgen,2,бежать;
610,3,Из плена,из + Sgen,2,бежать;
611,3,из лагеря,из + Sgen,2,бежать;
612,1,Орлик,Snom,1,бежать;
613,3,во Францию,в + Sacc,2,бежать;
614,3,от них,от + SPROgen,2,бежать;
615,3,от него,от + Sgen,2,бежать;
616,1,мелодия,Snom,1,бежать;
617,1,луну,Sacc,1,бежать;
618,1,пиво,Snom,1,бежать;
619,3,по которым,по + APROdat,2,бежать;
620,1,слёзы,Sacc,1,бежать;
621,3,по щеке,по + Sdat,2,бежать;
622,1,болото,Snom,1,бежать;
623,3,направо,ADV,2,бежать;
624,1,зверь,Snom,1,бежать;
625,3,На ловца,на + Sacc,2,бежать;
626,1,титры,Snom,1,бежать;
627,1,туристы,Snom,1,бежать;
628,3,к автобусам,к + Sdat,2,бежать;
629,4,За ними,за + SPROins,2,бежать;
630,1,мурашки,Snom,1,бежать;
631,3,по спине,по + Sdat,2,бежать;
632,4,от / крику,от + Sgen2,2,бежать;
633,1,позёмка,Snom,1,бежать;
634,3,струями,Sins,2,бежать;
635,4,Навстречу машине,навстречу + Sdat,2,бежать;
636,1,Он,SPROnom,1,бежать;
637,3,улицей,Sins,2,бежать;
638,3,по жизни,по + Sdat,2,бежать;
639,1,которая,APROnom,1,бежать;
640,3,от Москвы,от + Sgen,2,бежать;
641,4,к Березине,к + Sdat,2,бежать;
642,1,Найда,Snom,1,бежать;
643,3,из темноты,из + Sgen,2,бежать;
644,4,на него,на + SPROacc,2,бежать;
645,3,рысцой,Sins,2,бежать;
646,4,по / дороге,по + Sdat,2,бежать;
647,1,мать,Snom,1,бежать;
649,3,с любовником,с + Sins,2,бежать;
650,3,со / тройкой,с + Sins,2,бежать;
651,1,скороход,Snom,1,бежать;
652,3,перед которым,перед + APROins,2,бежать;
653,3,Вон,ADV,2,бежать;
654,1,ашкеры,Snom,1,бежать;
655,3,Впереди,ADV,2,бежать;
656,3,Сзади,ADV,2,бежать;
657,1,старухи,Snom,1,бежать;
658,3,за которыми,за + APROins,2,бежать;
659,4,по / тропинкам,по + Sdat,2,бежать;
660,3,домой,ADV,2,бежать;
661,4,записать,Vinf,2,бежать;
662,1,Мопассан,Snom,1,бежать;
663,3,от которой,от + APROgen,2,бежать;
664,4,на / берег,на + Sacc,2,бежать;
665,1,люди,Snom,1,бежать;
666,3,на выстрел,на + Sacc,2,бежать;
667,1,Гопчик,Snom,1,бежать;
668,3,зайчишкой,Sins,2,бежать;
669,4,сзади,ADV,2,бежать;
670,3,на / мостик,на + Sacc,2,бежать;
671,4,по / проволоке,по + Sdat,2,бежать;
672,1,Я,SPROnom,1,белка;
674,3,как,как,2,белка;
675,4,белка,белка,1,белка;
676,5,в колесе,в + колесе,2,белка;
678,4,белка,белка,1,белка;
679,1,них,Anom,1,беречь;
681,3,её,SPROacc,3,беречь;
682,4,в / душах,в + Sloc,2,беречь;
684,3,старое,Aacc,3,беречь;
685,1,Ты,SPROnom,1,беречь;
687,3,клеёнку,Sacc,3,беречь;
688,1,которые,APROnom,1,беречь;
689,3,язык,Sacc,3,беречь;
691,3,честь,Sacc,3,беречь;
692,1,каждая,APROnom,1,беречь;
694,3,причёску,Sacc,3,беречь;
695,1,Воля,Snom,1,беречь;
696,3,Вещи,Sacc,3,беречь;
698,3,его,SPROacc,3,беречь;
699,1,Соседи,Snom,1,беречь;
701,3,которые,APROacc,3,беречь;
702,1,Он,SPROnom,1,беречь;
704,1,он,SPROnom,1,беречь;
705,3,зубы,Sacc,3,беречь;
706,1,Вам,SPROdat,1,беречь;
707,3,здоровье,Sacc,3,беречь;
708,1,все,SPROnom,1,беречь;
710,3,раны,Sacc,3,беречь;
711,1,у него,у + SPROgen,2,беречь;
713,3,Книга,Snom,1,беречь;
714,1,я,SPROnom,1,беречь;
716,3,Сокровища,Sacc,3,беречь;
717,4,для / минут,для + Sgen,2,беречь;
718,1,Я,SPROnom,1,беречь;
719,3,их,SPROacc,3,беречь;
720,4,для / случая,для + Sgen,2,беречь;
721,3,место,Sacc,3,беречь;
722,4,для / встреч,для + Sgen,2,беречь;
723,3,который,APROacc,3,беречь;
724,4,для разговоров,для + Sgen,2,беречь;
725,1,Учитель,Snom,1,беречь;
726,3,деньги,Sacc,3,беречь;
727,3,капиталец,Sacc,3,беречь;
729,3,себя,SPROacc,3,беречь;
731,3,президента,Sacc,3,беречь;
732,1,милиция,Snom,1,беречь;
734,3,меня,SPROacc,3,беречь;
736,3,пчёл,Sacc,3,беречь;
738,3,людей,Sacc,3,беречь;
740,3,ОСО,Sacc,3,беречь;
741,1,Жена,Snom,1,беречь;
743,3,его,SPROacc,1,беречь;
744,3,мальчиков,Sacc,3,беречь;
745,1,мы,SPROnom,1,беречь;
747,1,солдаты,Snom,1,беречь;
749,3,ей,SPROins,1,беречь;
750,3,её,SPROacc,3,беречь;
751,3,детей,Sacc,3,беречь;
752,1,он,SPROnom,1,беречь;
753,4,от воды,от + Sgen,2,беречь;
754,3,дом,Sacc,3,беречь;
755,4,от крыс,от + Sgen,2,беречь;
756,3,места,Sacc,3,беречь;
757,4,от порчи,от + Sgen,2,беречь;
759,1,солдат,Snom,1,беречься;
763,1,он,SPROnom,1,беречься;
765,1,товарищ,Snom,1,беречься;
766,1,Вы,SPROnom,1,беречься;
767,1,Федор,Snom,1,беречься;
769,1,я,SPROnom,1,беречься;
771,1,немец,Snom,1,беречься;
773,1,Каждый,APROnom,1,беречься;
774,1,Мне,SPROdat,1,беречься;
775,1,Малянов,Snom,1,беречься;
778,1,вам,SPROdat,1,беречься;
779,1,она,SPROnom,1,беречься;
782,1,ты,SPROnom,1,беречься;
785,3,горячки,Sgen,3,беречься;
786,3,иткульских,Sgen,3,беречься;
787,3,меня,SPROgen,3,беречься;
788,3,совместницы,Sgen,3,беречься;
789,3,вина,Sgen,3,беречься;
790,3,автомобиля,Sgen,3,беречься;
